,Model,Price
89,"MSI GF63 9SCSR i5 9TH GEN/ 8GB RAM/ 256GB SSD / GTX 1650TI / 15.6"" FHD 144Hz","NPR99,000.00"
90,"MSI GF63 Thin 10SC i5 10TH GEN / GTX 1650 / 8GB RAM / 256GB SSD / 15.6"" FHD Display / Backlight Keyboard","NPR99,000.00"
91,"MSI Bravo 15 A4DCR Ryzen 5 4600H / RX5300M / 8GB RAM / 512GB SSD / 15.6"" 144Hz FHD display","NPR99,000.00"
92,"HP Victus 16 2021 Ryzen 5 5600H / AMD Radeon™ RX 5500M 4096MB / 8GB RAM / 256GB SSD / 15.6"" FHD display","NPR105,000.00"
93,"Acer Nitro 5 2021 i5 11TH GEN/ GTX 1650/ 15.6"" FHD 144Hz/ 8GB RAM/ 512GB SSD","NPR110,000.00"
94,"Acer Nitro 5 2020 i5 10TH GEN / RTX 2060 / 8GB RAM / 256GB SSD / 1TB HDD / 15.6"" FHD / RGB Keyboard","NPR113,000.00"
95,"MSI Summit B15 A11M  i5 11th Gen / 8GB RAM / Iris Xe /  512GB SSD / 15.6"" FHD Display","NPR115,000.00"
96,"MSI Modern 15 A11SB i5 11th Gen / GeForce MX450 / 8GB RAM / 512GB SSD / 15.6"" FHD","NPR115,000.00"
97,"MSI Modern 14 B11SB i5 11th Gen / GeForce MX450 / 8GB RAM / 512GB SSD / 14"" FHD","NPR115,000.00"
98,"Lenovo IdeaPad 5 2022 14 Ryzen 7 5825U / 16GB RAM / 1TB SSD / 14"" FHD display / Backlight Keyboard","NPR118,000.00"
99,"Acer Nitro 5 2022 i5 12th Gen 12500H / RTX 3050 / 8GB RAM / 512GB SSD / 15.6"" FHD 144Hz display / RED backlight Keyboard","NPR119,900.00"
100,Lenovo Legion 5 2021 Ryzen 5 5600H / RTX 3050ti / 8GB RAM  /  512GB SSD / 15.6'' 120Hz Display / White Backlight Keyboard,"NPR120,000.00"
101,"HP Victus 16 2021 i5 11400H 6 Core /  NVIDIA GTX 1650 / 8GB RAM / 512GB SSD / 16.1""  144hz FHD display","NPR120,000.00"
102,"MSI GF63 Thin 10UD i5 10TH GEN / RTX 3050Ti / 8GB RAM / 512GB SSD / 15.6"" 144Hz FHD Display / Backlight Keyboard","NPR120,000.00"
103,"Lenovo Yoga Slim 7 15ITL05 i5 11th Gen / 16GB RAM / 512GB SSD / 15.6"" FHD display","NPR120,000.00"
104,"MSI GL65 9ScK  i7 9TH GEN/ 256GB SSD/ 8GB RAM/ GTX 1650/ 15.6"" 120Hz FHD display","NPR120,000.00"
105,MSI Bravo 15 A4DDR Ryzen 7 4800H / RX5500M / 8GB RAM / 512GB SSD / 15.6'' 144Hz FHD display,"NPR123,000.00"
106,"MSI GF65 10SDR i5 10TH GEN/ 8GB RAM/ 512GB SSD/ GTX 1660TI / 15.6"" FHD 120Hz","NPR125,000.00"
107,"Asus TUF F15 Gaming Laptop i5 10Th Gen / GTX 1650/ 8GB RAM / 512GB SSD / 15.6"" FHD 144Hz display","NPR125,000.00"
108,"MSI Modern 15 A11SB i7 11th Gen / GeForce MX450 / 8GB RAM / 512GB SSD / 15.6"" FHD display","NPR125,000.00"
109,"Acer Nitro 5 2021 AMD Ryzen 7 5800H / GTX 1650 / 8GB RAM / 512GB SSD / 15.6"" FHD 144Hz display","NPR125,000.00"
110,"Acer Nitro 5 2021 i7 11TH GEN/ GTX 1650/ 15.6"" FHD 144Hz/ 8GB RAM/ 512GB SSD","NPR127,000.00"
111,"MSI Modern 14 B11SB i7 11th Gen  / MX450 / 8GB RAM / 512GB SSD / 14"" FHD display","NPR128,000.00"
112,"Acer Nitro 5 2021 Intel i5 10Th Gen / RTX 3060 / 8GB RAM / 512 SSD / 15.6"" FHD 144Hz display","NPR129,000.00"
